Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.821,0.807,0.42,0.524,0.523,0.589,0.868,0.471,0.589,"[[243  37]
 [ 23  33]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",47,2019-05-11 15:53:33.057088
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.814,0.678,0.254,0.356,0.345,0.308,0.915,0.421,0.308,"[[238  22]
 [ 36  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",89,2019-05-11 15:54:14.678538
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.83,0.85,0.284,0.364,0.494,0.292,0.938,0.483,0.292,"[[225  15]
 [ 34  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",132,2019-05-11 15:54:57.394475
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.75,0.566,0.116,0.267,0.349,0.273,0.845,0.261,0.273,"[[186  34]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",175,2019-05-11 15:55:40.651916
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.708,0.525,-0.041,0.135,0.169,0.136,0.823,0.133,0.136,"[[181  39]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",218,2019-05-11 15:56:23.335944
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.833,0.774,0.383,0.481,0.419,0.464,0.907,0.5,0.464,"[[254  26]
 [ 30  26]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",50,2019-05-11 15:57:24.129680
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.84,0.675,0.359,0.444,0.45,0.385,0.931,0.526,0.385,"[[242  18]
 [ 32  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",96,2019-05-11 15:58:09.875222
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.799,0.813,0.183,0.293,0.383,0.25,0.908,0.353,0.25,"[[218  22]
 [ 36  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",141,2019-05-11 15:58:54.963845
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.799,0.739,0.322,0.442,0.399,0.477,0.864,0.412,0.477,"[[190  30]
 [ 23  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",187,2019-05-11 15:59:40.902191
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.811,0.52,0.049,0.107,0.232,0.068,0.959,0.25,0.068,"[[211   9]
 [ 41   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",233,2019-05-11 16:00:27.069455
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.768,0.769,0.072,0.204,0.3,0.179,0.886,0.238,0.179,"[[248  32]
 [ 46  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",46,2019-05-11 16:01:23.139926
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.792,0.665,0.058,0.156,0.294,0.115,0.927,0.24,0.115,"[[241  19]
 [ 46   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",88,2019-05-11 16:02:05.460597
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.83,0.901,0.559,0.626,0.548,0.854,0.825,0.494,0.854,"[[198  42]
 [  7  41]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",131,2019-05-11 16:02:47.854540
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.826,0.641,0.202,0.258,0.307,0.182,0.955,0.444,0.182,"[[210  10]
 [ 36   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",173,2019-05-11 16:03:30.496225
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.792,0.609,0.078,0.179,0.271,0.136,0.923,0.261,0.136,"[[203  17]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",216,2019-05-11 16:04:12.933025
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.86,0.805,0.486,0.569,0.637,0.554,0.921,0.585,0.554,"[[258  22]
 [ 25  31]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",52,2019-05-11 16:05:09.797787
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.821,0.679,0.179,0.243,0.367,0.173,0.95,0.409,0.173,"[[247  13]
 [ 43   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",99,2019-05-11 16:05:56.986295
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.809,0.718,0.191,0.286,0.302,0.229,0.925,0.379,0.229,"[[222  18]
 [ 37  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",147,2019-05-11 16:06:45.028673
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.72,0.647,-0.047,0.119,0.246,0.114,0.841,0.125,0.114,"[[185  35]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",195,2019-05-11 16:07:33.375664
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.803,0.567,0.102,0.187,0.226,0.136,0.936,0.3,0.136,"[[206  14]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",243,2019-05-11 16:08:21.633731
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.783,0.761,0.223,0.354,0.351,0.357,0.868,0.351,0.357,"[[243  37]
 [ 36  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",48,2019-05-11 16:09:18.300506
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.833,0.655,0.125,0.103,0.366,0.058,0.988,0.5,0.058,"[[257   3]
 [ 49   3]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",91,2019-05-11 16:10:01.262532
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.809,0.801,0.205,0.304,0.355,0.25,0.921,0.387,0.25,"[[221  19]
 [ 36  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",134,2019-05-11 16:10:44.846385
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.765,0.6,0.071,0.205,0.315,0.182,0.882,0.235,0.182,"[[194  26]
 [ 36   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",178,2019-05-11 16:11:28.472007
