Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.628,0.666,0.233,0.384,0.235,0.696,0.614,0.265,0.696,"[[172 108]
 [ 17  39]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:13:04.661449
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.657,0.541,-0.01,0.195,0.171,0.25,0.738,0.16,0.25,"[[192  68]
 [ 39  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-11 18:13:23.605662
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.524,0.504,-0.016,0.235,0.174,0.438,0.542,0.16,0.438,"[[130 110]
 [ 27  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-11 18:13:42.701899
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.682,0.505,0.032,0.222,0.207,0.273,0.764,0.188,0.273,"[[168  52]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",79,2019-05-11 18:14:01.349809
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.636,0.517,0.044,0.25,0.199,0.364,0.691,0.19,0.364,"[[152  68]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",98,2019-05-11 18:14:21.143098
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.726,0.61,0.028,0.193,0.248,0.196,0.832,0.19,0.196,"[[233  47]
 [ 45  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:14:52.007700
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.747,0.653,0.231,0.378,0.275,0.462,0.804,0.32,0.462,"[[209  51]
 [ 28  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-11 18:15:10.918785
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.528,0.551,0.075,0.292,0.222,0.583,0.517,0.194,0.583,"[[124 116]
 [ 20  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",61,2019-05-11 18:15:31.288444
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.742,0.552,0.089,0.244,0.214,0.25,0.841,0.239,0.25,"[[185  35]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",81,2019-05-11 18:15:51.064664
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.527,0.51,0.024,0.26,0.198,0.5,0.532,0.176,0.5,"[[117 103]
 [ 22  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",101,2019-05-11 18:16:10.912338
