Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.798,0.711,0.406,0.514,0.652,0.643,0.829,0.429,0.643,"[[232  48]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",19,2019-05-10 14:57:08.698638
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.878,0.751,0.523,0.587,0.627,0.519,0.95,0.675,0.519,"[[247  13]
 [ 25  27]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",37,2019-05-10 14:57:26.094925
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.837,0.776,0.292,0.356,0.398,0.271,0.95,0.52,0.271,"[[228  12]
 [ 35  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 14:57:43.973636
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.621,0.536,0.029,0.242,0.204,0.364,0.673,0.182,0.364,"[[148  72]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",73,2019-05-10 14:58:01.822403
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.799,0.522,0.048,0.131,0.257,0.091,0.941,0.235,0.091,"[[207  13]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",91,2019-05-10 14:58:19.729061
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.821,0.785,0.445,0.545,0.728,0.643,0.857,0.474,0.643,"[[240  40]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",19,2019-05-10 14:58:43.531640
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.859,0.768,0.387,0.421,0.507,0.308,0.969,0.667,0.308,"[[252   8]
 [ 36  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",36,2019-05-10 14:59:00.715673
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.722,0.788,-0.158,0.0,0.318,0.0,0.867,0.0,0.0,"[[208  32]
 [ 48   0]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",54,2019-05-10 14:59:17.861445
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.788,0.716,0.434,0.533,0.426,0.727,0.8,0.421,0.727,"[[176  44]
 [ 12  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",71,2019-05-10 14:59:35.119225
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.727,0.567,-0.059,0.1,0.186,0.091,0.855,0.111,0.091,"[[188  32]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",89,2019-05-10 14:59:52.950784
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.881,0.709,0.508,0.545,0.599,0.429,0.971,0.75,0.429,"[[272   8]
 [ 32  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-10 15:00:18.147550
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.869,0.859,0.502,0.577,0.491,0.538,0.935,0.622,0.538,"[[243  17]
 [ 24  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",37,2019-05-10 15:00:35.455288
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.736,0.63,0.138,0.296,0.221,0.333,0.817,0.267,0.333,"[[196  44]
 [ 32  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",54,2019-05-10 15:00:52.075191
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.712,0.668,0.126,0.296,0.333,0.364,0.782,0.25,0.364,"[[172  48]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",71,2019-05-10 15:01:09.335711
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.833,0.478,0.158,0.154,0.196,0.091,0.982,0.5,0.091,"[[216   4]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",88,2019-05-10 15:01:26.825266
