Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.792,0.763,0.261,0.386,0.363,0.393,0.871,0.379,0.393,"[[244  36]
 [ 34  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 14:57:20.765072
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.827,0.712,0.226,0.289,0.416,0.212,0.95,0.458,0.212,"[[247  13]
 [ 41  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 14:57:39.019373
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.795,0.805,0.269,0.392,0.43,0.396,0.875,0.388,0.396,"[[210  30]
 [ 29  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 14:57:57.053064
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.814,0.632,0.11,0.169,0.311,0.114,0.955,0.333,0.114,"[[210  10]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",76,2019-05-10 14:58:15.486500
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.723,0.595,0.048,0.215,0.3,0.227,0.823,0.204,0.227,"[[181  39]
 [ 34  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 14:58:33.237102
0,all53 S:4,0,0,"[1, 2, 3, 4]",0.801,0.752,0.256,0.374,0.405,0.357,0.889,0.392,0.357,"[[249  31]
 [ 36  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 14:58:59.346394
0,all53 S:4,0,1,"[0, 2, 3, 4]",0.833,0.676,0.258,0.316,0.404,0.231,0.954,0.5,0.231,"[[248  12]
 [ 40  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 14:59:17.924190
0,all53 S:4,0,2,"[0, 1, 3, 4]",0.767,0.784,0.235,0.374,0.362,0.417,0.838,0.339,0.417,"[[201  39]
 [ 28  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 14:59:35.960318
0,all53 S:4,0,3,"[0, 1, 2, 4]",0.792,0.68,0.243,0.368,0.457,0.364,0.877,0.372,0.364,"[[193  27]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",77,2019-05-10 14:59:54.371068
0,all53 S:4,0,4,"[0, 1, 2, 3]",0.701,0.605,-0.03,0.151,0.239,0.159,0.809,0.143,0.159,"[[178  42]
 [ 37   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",96,2019-05-10 15:00:13.586700
