Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.658,0.565,-0.009,0.196,0.183,0.25,0.739,0.161,0.25,"[[207  73]
 [ 42  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 14:57:15.936024
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.705,0.521,-0.062,0.115,0.173,0.115,0.823,0.115,0.115,"[[214  46]
 [ 46   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 14:57:33.457086
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.549,0.586,0.106,0.309,0.231,0.604,0.538,0.207,0.604,"[[129 111]
 [ 19  29]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 14:57:51.237224
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.708,0.59,0.107,0.28,0.23,0.341,0.782,0.238,0.341,"[[172  48]
 [ 29  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",75,2019-05-10 14:58:09.063561
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.496,0.528,0.078,0.296,0.186,0.636,0.468,0.193,0.636,"[[103 117]
 [ 16  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",93,2019-05-10 14:58:26.714680
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.601,0.69,0.229,0.38,0.342,0.732,0.575,0.256,0.732,"[[161 119]
 [ 15  41]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",23,2019-05-10 14:58:54.365371
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.696,0.595,-0.011,0.174,0.2,0.192,0.796,0.159,0.192,"[[207  53]
 [ 42  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",43,2019-05-10 14:59:14.350619
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.472,0.537,0.05,0.283,0.209,0.625,0.442,0.183,0.625,"[[106 134]
 [ 18  30]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",63,2019-05-10 14:59:33.925647
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.545,0.511,0.014,0.25,0.184,0.455,0.564,0.172,0.455,"[[124  96]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",83,2019-05-10 14:59:53.917748
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.568,0.585,0.089,0.296,0.274,0.545,0.573,0.203,0.545,"[[126  94]
 [ 20  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",103,2019-05-10 15:00:14.459486
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.682,0.698,0.206,0.367,0.305,0.554,0.707,0.274,0.554,"[[198  82]
 [ 25  31]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:00:40.549547
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.715,0.659,0.093,0.264,0.249,0.308,0.796,0.232,0.308,"[[207  53]
 [ 36  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:00:59.151084
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.615,0.551,-0.01,0.213,0.192,0.312,0.675,0.161,0.312,"[[162  78]
 [ 33  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 15:01:16.726076
